term,gene
AbSC_Pos_Bala_2023,Vcp
AbSC_Pos_Bala_2023,Pabpc1
AbSC_Pos_Bala_2023,Cnbp
AbSC_Pos_Bala_2023,Mak16
AbSC_Pos_Bala_2023,Psmb4
AbSC_Pos_Bala_2023,Srsf10
AbSC_Pos_Bala_2023,Sumo2
AbSC_Pos_Bala_2023,Ezh2
AbSC_Pos_Bala_2023,Epcam
AbSC_Pos_Bala_2023,Ppp1r14b
AbSC_Pos_Bala_2023,Gar1
AbSC_Pos_Bala_2023,G3bp2
AbSC_Pos_Bala_2023,Fasn
AbSC_Pos_Bala_2023,Psip1
AbSC_Pos_Bala_2023,Pdap1
AbSC_Pos_Bala_2023,Rpl4
AbSC_Pos_Bala_2023,Rps20
AbSC_Pos_Bala_2023,Rpl34
AbSC_Pos_Bala_2023,Clic4
AbSC_Pos_Bala_2023,Laptm4a
AbSC_Pos_Bala_2023,Rpl10a
AbSC_Pos_Bala_2023,Ddx21
AbSC_Pos_Bala_2023,Exosc4
AbSC_Pos_Bala_2023,Rpl18a
AbSC_Pos_Bala_2023,Rpl7
AbSC_Pos_Bala_2023,Rps5
AbSC_Pos_Bala_2023,Ssrp1
AbSC_Pos_Bala_2023,Tst
AbSC_Pos_Bala_2023,Zfp36l1
AbSC_Pos_Bala_2023,Mbnl1
AbSC_Pos_Bala_2023,Map1lc3a
AbSC_Pos_Bala_2023,Cct2
AbSC_Pos_Bala_2023,Nmi
AbSC_Pos_Bala_2023,Rpl27a
AbSC_Pos_Bala_2023,Mrto4
AbSC_Pos_Bala_2023,Pfdn2
AbSC_Pos_Bala_2023,Eif2ak2
AbSC_Pos_Bala_2023,Cuedc2
AbSC_Pos_Bala_2023,Psmb9
AbSC_Pos_Bala_2023,Mtdh
AbSC_Pos_Bala_2023,Nop58
AbSC_Pos_Bala_2023,Lysmd2
AbSC_Pos_Bala_2023,Rps17
AbSC_Pos_Bala_2023,Tnfaip8l1
AbSC_Pos_Bala_2023,Tuba1c
AbSC_Pos_Bala_2023,Smarce1
AbSC_Pos_Bala_2023,Slc38a2
AbSC_Pos_Bala_2023,Eif4ebp1
AbSC_Pos_Bala_2023,Vgll4
AbSC_Pos_Bala_2023,Eef2
AbSC_Pos_Bala_2023,Rps9
AbSC_Pos_Bala_2023,H2afj
AbSC_Pos_Bala_2023,Zfp593
AbSC_Pos_Bala_2023,Arl6ip4
AbSC_Pos_Bala_2023,Eef1e1
AbSC_Pos_Bala_2023,Hnrnpu
AbSC_Pos_Bala_2023,Psmc3
AbSC_Pos_Bala_2023,Atrx
AbSC_Pos_Bala_2023,Srrm1
AbSC_Pos_Bala_2023,Rps25
AbSC_Pos_Bala_2023,Med10
AbSC_Pos_Bala_2023,Tomm20
AbSC_Pos_Bala_2023,Rplp2
AbSC_Pos_Bala_2023,Grcc10
AbSC_Pos_Bala_2023,Znhit1
AbSC_Pos_Bala_2023,Akr1b3
AbSC_Pos_Bala_2023,Rpl3
AbSC_Pos_Bala_2023,F11r
AbSC_Pos_Bala_2023,Rps12
AbSC_Pos_Bala_2023,Mcrip1
AbSC_Pos_Bala_2023,Uba52
AbSC_Pos_Bala_2023,Paics
AbSC_Pos_Bala_2023,Rpl24
AbSC_Pos_Bala_2023,Snrpf
AbSC_Pos_Bala_2023,Mat2a
AbSC_Pos_Bala_2023,Smarca5
AbSC_Pos_Bala_2023,Fcf1
AbSC_Pos_Bala_2023,Echdc2
AbSC_Pos_Bala_2023,Akap13
AbSC_Pos_Bala_2023,Gch1
AbSC_Pos_Bala_2023,Hif1a
AbSC_Pos_Bala_2023,Lars
AbSC_Pos_Bala_2023,Stard10
AbSC_Pos_Bala_2023,Anp32b
AbSC_Pos_Bala_2023,Ssb
AbSC_Pos_Bala_2023,Hddc2
AbSC_Pos_Bala_2023,Ddx39
AbSC_Pos_Bala_2023,Plscr1
AbSC_Pos_Bala_2023,Adrm1
AbSC_Pos_Bala_2023,Sap30
AbSC_Pos_Bala_2023,Rabac1
AbSC_Pos_Bala_2023,Tpd52l2
AbSC_Pos_Bala_2023,Tpm4
AbSC_Pos_Bala_2023,Hprt
AbSC_Pos_Bala_2023,Gadd45g
AbSC_Pos_Bala_2023,Fdps
AbSC_Pos_Bala_2023,Nemf
AbSC_Pos_Bala_2023,Tcp1
AbSC_Pos_Bala_2023,Rplp1
AbSC_Pos_Bala_2023,Apex1
AbSC_Pos_Bala_2023,Rps13
AbSC_Pos_Bala_2023,Bax
AbSC_Pos_Bala_2023,Chd9
