sgRNA,Gene,Day3.bulk.no1,Day9.bulk.no1,Day9.CD11b.low.no1,Day9.CD11b.high.no1,Day3.bulk.no2,Day9.bulk.no2,Day9.CD11b.low.no2,Day9.CD11b.high.no2
sgRNA_2173,TTF2,334.9123254,647.2172207,583.8665479,666.241651,247.2287736,564.8549507,557.4218885,615.8522531
sgRNA_4316,SMYD4,517.5917757,726.8257349,796.4428064,844.7333254,376.3128236,852.8779652,572.2469387,428.1639474
sgRNA_125,SIRT1,295.5108754,234.845117,444.542919,234.8072294,134.7724996,245.0257138,342.9528286,170.0925271
sgRNA_2336,LSM11,163.5757169,228.4764358,153.6868896,763.6007462,136.9603649,187.30331,174.9355927,447.7148126
sgRNA_5106,DNMT3A,141.4870252,272.2611187,198.9311608,167.0376632,105.8926783,209.0964625,235.2241302,277.6222855
sgRNA_3026,RBMXL3,124.7712585,115.4323456,78.27977087,41.04354011,72.63712642,113.088791,95.86865813,44.96698991
sgRNA_2415,SUV39H1,533.113559,939.380468,897.7037944,656.6966417,404.7550719,841.0978828,1207.747425,801.5854723
sgRNA_5087,EPHB1,431.0279839,806.4342492,642.0377537,775.0547574,308.4890007,834.0298334,707.6490641,889.5643656
sgRNA_3855,TIPARP,209.5440753,390.8778049,415.0982345,318.8033115,141.3360954,497.119477,496.1450142,62.56276857
sgRNA_1532,L3MBTL2,274.616167,565.2204511,522.1045268,389.4363805,158.8390174,442.9310979,248.0725071,434.029207
sgRNA_4685,CECR2,170.1426252,398.8386563,415.8163976,340.756833,202.5963225,406.4128425,308.3610447,263.9366799
sgRNA_2990,EIF2S1,355.2100421,342.3166112,595.3571564,480.1139692,187.7188387,422.9049579,529.7484614,183.7781327
sgRNA_4640,NCOA3,238.1996753,354.2578883,298.0376597,566.973554,149.6499833,292.1460433,251.0375172,260.0265069
sgRNA_5369,LRSAM1,84.17582511,221.3116696,184.5679001,191.8546875,77.01285692,227.3555902,87.96196467,7.820346072
sgRNA_4304,NEIL1,282.9740504,350.2774626,365.5449851,254.851749,176.3419394,377.5516407,380.5096225,238.5205552
sgRNA_3271,SNRPB2,155.2178335,205.3899667,359.0815178,205.2177005,125.1458925,239.7246767,281.6759543,56.69750902
sgRNA_459,BPTF,120.5923168,246.7863941,249.2025733,216.6717117,85.76431794,239.1356726,375.5679391,111.4399315
sgRNA_2077,ZC3H7B,247.751542,211.7586479,529.2861572,236.7162313,147.4621181,261.5178291,378.5329491,132.9458832
sgRNA_692,NonTargetingControlGuideForHuman_0746,281.1830754,316.8418866,188.8768783,260.5787546,136.0852188,428.205995,385.4513059,400.7927362
sgRNA_4075,MKRN3,229.2448003,353.4618032,320.3007138,342.6658348,162.3396018,266.2298621,278.7109442,261.9815934
sgRNA_2321,CPEB2,271.6312087,368.5874209,535.0314614,347.4383395,149.6499833,310.9941752,444.7515068,224.8349496
sgRNA_1756,SETD7,188.0523752,227.6803507,140.0417919,188.9911847,135.6476457,249.1487426,143.3088188,254.1612473
sgRNA_3069,CUL3,96.11565846,199.0212856,208.2672803,403.7538945,117.2695776,144.3060093,175.9239293,240.4756417
sgRNA_2765,RBM25,265.661292,395.6543157,430.1796583,324.5303171,123.3956003,319.8292369,179.8772761,134.9009697
sgRNA_1978,PRMT5,254.915442,364.6069952,368.4176372,260.5787546,219.6616714,445.2871144,552.4802051,414.4783418
sgRNA_5572,CHAF1B,123.5772752,224.4960101,165.8956612,352.2108442,129.521623,289.2010227,239.177477,144.6764023
sgRNA_1209,TNKS2,145.6659669,117.0245159,236.9938017,121.2216185,108.5181166,160.2091205,293.5359945,37.14664384
sgRNA_2777,METTL13,149.8449085,248.3785644,207.5491173,339.802332,115.5192854,272.1199033,362.7195622,177.9128731
sgRNA_1221,SEC23IP,297.898842,454.5646163,621.9291887,294.9407882,192.5321423,415.2479043,429.9264565,318.6791024
sgRNA_2208,METTL21B,224.468867,401.2269117,352.6180504,556.4740438,164.5274671,398.755789,466.4949138,361.6910058
sgRNA_1654,GTF3C4,354.6130505,386.8973792,771.3071001,652.878638,204.3466147,468.8472792,616.7220894,209.1942574
sgRNA_4170,SNRNP70,229.2448003,346.2970369,258.5386928,356.0288479,146.586972,316.2952122,97.84533149,232.6552956
sgRNA_1607,PRDM5,364.7619088,552.4830888,440.2339408,519.2485074,214.4107948,515.9676088,338.9994818,256.1163338
sgRNA_4782,RBM41,237.005692,386.101294,356.2088656,441.9339318,193.4072884,449.9991474,463.5299037,494.636889
sgRNA_5105,HMGA2,305.0627421,566.8126213,462.4969949,592.7450792,200.8460303,514.2005964,559.3985619,584.5708688
sgRNA_5290,HDAC1,611.9164591,838.2776549,820.8603496,807.5077891,407.8180832,834.6188375,874.6779633,594.3463014
sgRNA_1520,HDAC7,322.3755004,714.0883727,685.8456989,539.293027,265.6068418,839.9198746,369.637919,690.1455408
sgRNA_416,EGLN1,205.3651336,386.101294,339.6911158,377.0278684,143.9615337,376.3736324,336.0344718,277.6222855
sgRNA_3066,ZCRB1,304.4657504,166.3817947,244.8935951,319.7578125,177.6546586,331.6093193,319.2327482,240.4756417
sgRNA_1738,JMJD1C,462.0715506,571.5891322,907.0399138,713.0121967,291.4236518,636.7134533,799.5643755,443.8046396
sgRNA_624,SUPT6H,311.6296504,481.6315111,320.3007138,416.1624067,196.0327267,419.3709332,511.9584011,271.757026
sgRNA_4897,RBPMS,245.3635753,327.1909935,336.1003006,340.756833,145.2742528,332.7873276,333.0694617,312.8138429
