"","x"
"570","Obsl1"
"571","Tmem198"
"572","Inha"
"573","Stk11ip"
"574","Slc4a3"
"575","Gm29065"
"576","Gm29069"
"577","Gm17751"
"578","Gm816"
"579","Epha4"
"580","Gm28386"
"581","Gm28387"
"582","Pax3"
"583","Sgpp2"
"584","Gm28410"
"585","Farsb"
"586","BC035947"
"587","Mogat1"
"588","5730419F03Rik"
"589","Gm29611"
"590","Acsl3"
"591","Utp14b"
"592","Gm29536"
"593","Kcne4"
"594","Gm29187"
"595","Scg2"
"596","Ap1s3"
"597","Wdfy1"
"598","Mrpl44"
"599","Serpine2"
"600","9830004L10Rik"
"601","Fam124b"
"602","2310015K22Rik"
"603","Cul3"
"604","Gm29125"
"605","1700016L21Rik"
"606","Dock10"
"607","Nyap2"
"608","Irs1"
"609","Gm9747"
"610","Rhbdd1"
"611","Gm28940"
"612","Col4a4"
"613","Col4a3"
"614","Mff"
"615","Tm4sf20"
"616","Gm28942"
"617","Agfg1"
"618","Slc19a3"
"619","Krtap28-10"
"620","Krtap28-13"
"621","Ccl20"
"622","Daw1"
"623","Sphkap"
"624","4933436I20Rik"
"625","Pid1"
"626","Dner"
"627","Trip12"
"628","Fbxo36"
"629","Slc16a14"
"630","C130026I21Rik"
"631","A530032D15Rik"
"632","Gm10553"
"633","A530040E14Rik"
"634","Gm16028"
"635","Gm16025"
"636","Gm16092"
"637","G530012D18Rik"
"638","Sp110"
"639","Gm16094"
"640","Sp140"
"641","Gm10552"
"642","Gm17017"
"643","Sp100"
"644","A630001G21Rik"
"645","9930111H07Rik"
"646","Cab39"
"647","Itm2c"
"648","4933407L21Rik"
"649","Gm28884"
"650","Gpr55"
"651","Gm28100"
"652","Spata3"
"653","2810459M11Rik"
"654","Psmd1"
"655","Htr2b"
"656","Gm21972"
"657","Armc9"
"658","Gm16341"
"659","B3gnt7"
"660","Gm28626"
"661","Ncl"
"662","Nmur1"
"663","1700019O17Rik"
"664","Ptma"
"665","Pde6d"
"666","Cops7b"
"667","Nppc"
"668","Dis3l2"
"669","Gm28375"
"670","Gm29371"
"671","Alppl2"
"672","Alpi"
"673","Akp3"
"674","Gm29374"
"675","Ecel1"
"676","Prss56"
"677","Chrnd"
"678","Chrng"
"679","Eif4e2"
"680","Efhd1"
"681","Efhd1os"
"682","Gigyf2"
"683","Kcnj13"
"684","3110079O15Rik"
"685","Ngef"
"686","Neu2"
"687","Inpp5d"
"688","Atg16l1"
"689","Sag"
"690","Dgkd"
"691","Gm19582"
"692","Usp40"
"693","Ugt1a10"
"694","Ugt1a9"
"695","Ugt1a8"
"696","Ugt1a7c"
"697","Ugt1a6b"
"698","Ugt1a6a"
"699","Ugt1a5"
"700","Ugt1a2"
"701","Dnajb3"
"702","Ugt1a1"
"703","Mroh2a"
"704","Hjurp"
"705","Trpm8"
"706","4930453O03Rik"
"707","Spp2"
"708","Gm29538"
"709","Gm28888"
"710","Glrp1"
"711","Gm19589"
"712","Gm29336"
"713","Arl4c"
"714","Platr5"
"715","Gm29337"
"716","1700067G17Rik"
"717","Sh3bp4"
"718","Gm28342"
"719","C030007H22Rik"
"720","Agap1"
"721","Gbx2"
"722","Asb18"
"723","Iqca"
"724","4930434B07Rik"
"725","Ackr3"
"726","Gm28721"
"727","Gm28723"
"728","Gm28722"
"729","Cops8"
"730","Gm9991"
"731","Col6a3"
"732","Mlph"
"733","Prlh"
"734","Rab17"
"735","Gm28199"
"736","Lrrfip1"
"737","Rbm44"
"738","Ramp1"
"739","Ube2f"
"740","Gm26683"
"741","Scly"
"742","Gm17090"
"743","Espnl"
"744","Klhl30"
"745","Fam132b"
"746","Ilkap"
"747","1700020N18Rik"
"748","Hes6"
"749","Per2"
"750","Gm28382"
"751","Traf3ip1"
"752","Asb1"
"753","Gm28380"
